expires_at,available,id,username,cusername,handle,display_name,created_at,channel_type,country_code,country,avatar,Banner,website,Facebook,twitch,twitter,Instagram,linkedin,discord,tik tok,uploads,subscribers,totalviews,growthsubs1,growthsubs3,growthsubs7,growthsubs14,growthsubs30,growthsubs60,growthsubs90,growthsubs180,growthsubs365,growthviews1,growthviews3,growthviews7,growthviews14,growthviews30,growthviews60,growthviews90,growthviews180,growthviews365,grade,sb_verified,made_for_kids,sbrank,rankedsubscribers,rankedviews,rankcountry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:19:56 EST,543,UCmh5gdwCx6lN7gEC20leNVA,mh5gdwCx6lN7gEC20leNVA,daviddobrik,@daviddobrik,David Dobrik,2014-12-19,people,US,United States,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,536.00,"18,100,000.00","7,125,263,314.00",0.00,0.00,0.00,0.00,0.00,0.00,"-100,000.00","-100,000.00","-200,000.00",0.00,"390,838.00","1,161,397.00","2,715,747.00","7,682,175.00","16,367,746.00","23,856,120.00","73,950,549.00","760,445,816.00",B+,FALSE,FALSE,"47,043.00",215.00,628.00,111.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:19:57 EST,542,UCTAacyv5T4cSus1W4D6eBfA,TAacyv5T4cSus1W4D6eBfA,korayzeynep,@korayzeynep0,Koray Zeynep,2016-07-08,people,,Unspecified,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"12,064.00","11,200,000.00","13,101,670,775.00","100,000.00","100,000.00","200,000.00","400,000.00","700,000.00","1,200,000.00","1,570,000.00","3,010,000.00","9,740,000.00","36,612,276.00","110,412,635.00","282,179,291.00","552,798,087.00","979,409,641.00","1,887,857,397.00","2,501,678,224.00","4,286,616,314.00","11,157,026,375.00",A+,FALSE,FALSE,36.00,285.00,232.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:19:58 EST,541,UCYqOeAXJm8yV9sJ8Ud3cR7A,newafi2013,indosiar,@indosiar,Indosiar,2013-09-23,entertainment,ID,Indonesia,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"62,996.00","22,700,000.00","11,446,156,089.00",0.00,"100,000.00","100,000.00","200,000.00","400,000.00","900,000.00","1,400,000.00","2,500,000.00","3,800,000.00","23,480,892.00","43,312,301.00","84,947,313.00","148,235,190.00","327,721,109.00","596,621,797.00","988,587,607.00","1,749,126,455.00","3,158,606,384.00",A,FALSE,FALSE,341.00,173.00,290.00,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:19:59 EST,540,UCHUu2HAnogpaK2UmTSJT8jg,HUu2HAnogpaK2UmTSJT8jg,,@mujjuu___14,mujjuu___14,2020-05-18,people,,Unspecified,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,688.00,"18,700,000.00","12,062,151,786.00",0.00,"100,000.00","200,000.00","400,000.00","800,000.00","1,600,000.00","2,900,000.00","7,300,000.00","16,120,000.00","16,445,571.00","52,823,305.00","47,300,692.00","132,727,426.00","350,963,812.00","853,976,026.00","1,628,043,394.00","4,118,112,016.00","10,107,623,417.00",A,FALSE,FALSE,305.00,210.00,267.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:20:01 EST,539,UCquYnQRdy7MFyP924xYHv1w,hotforwords,,@hotforwords,Hot For Words,2007-02-26,entertainment,US,United States,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2.00,"373,000.00","1,892.00",0.00,0.00,0.00,0.00,"-1,000.00","-1,000.00","-1,000.00","-2,000.00","-5,000.00",29.00,87.00,305.00,"-13,450.00","-491,127,286.00","-491,118,534.00","-491,109,491.00","-418,908,243.00","-458,486,374.00",B-,FALSE,FALSE,"946,165.00","1,872.00","3,756,798.00","1,608.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:20:02 EST,538,UCk8GzjMOrta8yxDcKfylJYw,k8GzjMOrta8yxDcKfylJYw,kidsdianashow,@kidsdianashow,✿ Kids Diana Show,2015-05-12,entertainment,US,United States,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"1,041.00","105,000,000.00","85,034,512,201.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","3,000,000.00","4,000,000.00","5,000,000.00","8,900,000.00","19,000,000.00",0.00,"93,439,919.00","275,795,280.00","624,728,886.00","1,472,772,940.00","2,445,783,001.00","3,923,135,906.00","8,994,608,325.00","19,681,208,752.00",A++,TRUE,TRUE,9.00,8.00,6.00,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:20:03 EST,537,UCwBKYuEQMKTOAkwdHRvOeHw,wBKYuEQMKTOAkwdHRvOeHw,alexanderjamesjansen,@janscend,Janscend,2021-07-14,people,US,United States,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,34.00,"546,000.00","780,831.00",0.00,0.00,"-1,000.00","-1,000.00","-3,000.00","-6,000.00","-7,000.00","-10,000.00",,17.00,-15.00,14.00,130.00,"-78,482.00","421,020.00","423,021.00","468,755.00",,B-,FALSE,FALSE,"846,704.00","1,687.00","2,981,765.00","1,427.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:20:06 EST,536,UC55IWqFLDH1Xp7iu1_xknRA,ColorsTV,colorstv,@colorstv,Colors TV,2008-06-13,entertainment,IN,India,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"98,344.00","58,200,000.00","56,505,035,931.00",0.00,"100,000.00","100,000.00","300,000.00","700,000.00","1,300,000.00","2,200,000.00","4,800,000.00","10,700,000.00","28,010,041.00","82,303,575.00","190,311,118.00","376,672,677.00","842,851,109.00","1,753,919,483.00","2,784,871,351.00","5,926,086,301.00","12,902,146,043.00",A,FALSE,FALSE,51.00,28.00,10.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:20:09 EST,535,UCNApqoVYJbYSrni4YsbXzyQ,adityamusic,adityamusic,@adityamusic,Aditya Music,2008-05-01,music,IN,India,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"20,581.00","27,100,000.00","23,879,110,856.00",0.00,0.00,0.00,"100,000.00","200,000.00","400,000.00","700,000.00","1,800,000.00","5,900,000.00","8,693,656.00","16,260,528.00","47,402,172.00","134,126,249.00","287,279,358.00","571,423,531.00","874,568,770.00","2,192,642,629.00","6,328,101,012.00",A,FALSE,FALSE,388.00,135.00,64.00,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:20:13 EST,534,UC0Wju2yvRlfwqraLlz5152Q,0Wju2yvRlfwqraLlz5152Q,pandaboi,@pandaboi,PANDA BOI,2020-12-05,entertainment,IT,Italy,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,769.00,"15,500,000.00","10,165,818,674.00",0.00,0.00,"100,000.00","300,000.00","700,000.00","3,200,000.00","4,600,000.00","7,140,000.00","12,110,000.00","11,751,158.00","21,792,438.00","70,915,492.00","137,644,286.00","398,565,738.00","1,245,071,221.00","1,775,328,258.00","3,027,400,460.00","6,821,289,442.00",A,FALSE,FALSE,224.00,241.00,352.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
