expires_at,available,id,username,cusername,handle,display_name,created_at,channel_type,country_code,country,avatar,Banner,website,Facebook,twitch,twitter,Instagram,linkedin,discord,tik tok,uploads,subscribers,totalviews,growthsubs1,growthsubs3,growthsubs7,growthsubs14,growthsubs30,growthsubs60,growthsubs90,growthsubs180,growthsubs365,growthviews1,growthviews3,growthviews7,growthviews14,growthviews30,growthviews60,growthviews90,growthviews180,growthviews365,grade,sb_verified,made_for_kids,sbrank,rankedsubscribers,rankedviews,rankcountry
01/08/2023 22:19:58 EST,541,UCYqOeAXJm8yV9sJ8Ud3cR7A,newafi2013,indosiar,@indosiar,Indosiar,41540,entertainment,ID,Indonesia,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,62996,22700000,11446156089,0,100000,100000,200000,400000,900000,1400000,2500000,3800000,23480892,43312301,84947313,148235190,327721109,596621797,988587607,1749126455,3158606384,A,FALSE,FALSE,341,173,290,7
01/08/2023 22:19:59 EST,540,UCHUu2HAnogpaK2UmTSJT8jg,HUu2HAnogpaK2UmTSJT8jg,,@mujjuu___14,mujjuu___14,43969,people,,Unspecified,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,688,18700000,12062151786,0,100000,200000,400000,800000,1600000,2900000,7300000,16120000,16445571,52823305,47300692,132727426,350963812,853976026,1628043394,4118112016,10107623417,A,FALSE,FALSE,305,210,267,
01/08/2023 22:20:01 EST,539,UCquYnQRdy7MFyP924xYHv1w,hotforwords,,@hotforwords,Hot For Words,39139,entertainment,US,United States,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,373000,1892,0,0,0,0,-1000,-1000,-1000,-2000,-5000,29,87,305,-13450,-491127286,-491118534,-491109491,-418908243,-458486374,B-,FALSE,FALSE,946165,1872,3756798,1608
01/08/2023 22:20:02 EST,538,UCk8GzjMOrta8yxDcKfylJYw,k8GzjMOrta8yxDcKfylJYw,kidsdianashow,@kidsdianashow,✿ Kids Diana Show,42136,entertainment,US,United States,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1041,105000000,85034512201,1000000,1000000,1000000,1000000,3000000,4000000,5000000,8900000,19000000,0,93439919,275795280,624728886,1472772940,2445783001,3923135906,8994608325,19681208752,A++,TRUE,TRUE,9,8,6,3
01/08/2023 22:20:03 EST,537,UCwBKYuEQMKTOAkwdHRvOeHw,wBKYuEQMKTOAkwdHRvOeHw,alexanderjamesjansen,@janscend,Janscend,44391,people,US,United States,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,34,546000,780831,0,0,-1000,-1000,-3000,-6000,-7000,-10000,,17,-15,14,130,-78482,421020,423021,468755,,B-,FALSE,FALSE,846704,1687,2981765,1427
01/08/2023 22:20:06 EST,536,UC55IWqFLDH1Xp7iu1_xknRA,ColorsTV,colorstv,@colorstv,Colors TV,39612,entertainment,IN,India,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,98344,58200000,56505035931,0,100000,100000,300000,700000,1300000,2200000,4800000,10700000,28010041,82303575,190311118,376672677,842851109,1753919483,2784871351,5926086301,12902146043,A,FALSE,FALSE,51,28,10,9
01/08/2023 22:20:09 EST,535,UCNApqoVYJbYSrni4YsbXzyQ,adityamusic,adityamusic,@adityamusic,Aditya Music,39569,music,IN,India,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,20581,27100000,23879110856,0,0,0,100000,200000,400000,700000,1800000,5900000,8693656,16260528,47402172,134126249,287279358,571423531,874568770,2192642629,6328101012,A,FALSE,FALSE,388,135,64,44
01/08/2023 22:20:13 EST,534,UC0Wju2yvRlfwqraLlz5152Q,0Wju2yvRlfwqraLlz5152Q,pandaboi,@pandaboi,PANDA BOI,44170,entertainment,IT,Italy,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,769,15500000,10165818674,0,0,100000,300000,700000,3200000,4600000,7140000,12110000,11751158,21792438,70915492,137644286,398565738,1245071221,1775328258,3027400460,6821289442,A,FALSE,FALSE,224,241,352,1
01/08/2023 22:20:14 EST,533,UCQZi2YXSxc6BSK4mZHql8ag,sportsnationespn,sportsnationespnfeatured,@sportsnationespn,SportsNation,39992,sports,US,United States,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,3040,8530000,11737073734,10000,30000,60000,90000,200000,560000,1240000,3310000,6660000,31566467,44011542,274577697,333738543,309508300,834932477,1707348907,4300733263,9100174600,A,FALSE,FALSE,394,439,279,274
01/08/2023 22:20:16 EST,532,UCWaOde99oeUVoXbIj3SNu9g,WaOde99oeUVoXbIj3SNu9g,sagawa,@sagawa,Sagawa /さがわ,44240,entertainment,JP,Japan,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,4466,15100000,12813692283,0,100000,200000,400000,700000,1700000,2700000,6070000,10890000,0,52302538,155026559,337130178,698545203,1377117890,2124357503,4343959837,9058770168,A,FALSE,FALSE,78,246,242,3
